puuid,leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,ratedTier,ratedRating
S5PlzuJ-sW0aJpf390x-bzt9XE3ngTBoA2l2Y0GEgKpzyUterUaKRay9SSi1KkzH20bYSWyZP_lCUw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,4ad6S4h-5O5zKgNO1nrRY0tCeHC_S0dikwcb4nX7bGlQ3fTH2HE6BhMK-Q,563.0,111,78,False,False,True,False,,
E0wpZNckCKwsRt-pB6c4Pwofr-P_wmd3LEPH6dHYUS4Gq0olqew2lkBakBmbjv2OFT2FobZARcdA-g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,RXmq3s3cgm-ylfIw8FE7uAdksyLME8uAv2hT212w52m8OVY867BNyBpQHg,562.0,117,90,False,False,True,False,,
Js9U5xb0i-NMs_dKwmxgFX8EGj_gpXhbaunkXZV7WwhreASJHWYc_ZN_ECHI4qzH9RbgOXKQy4A41A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,eiDvqtafJc3UdH1_yAd_87hzQMtbD3SqhOVzbyMZUJED5uU,562.0,111,80,False,False,True,False,,
gU37-WuJY1o3kK1IS9Sf-v7yTEbvjLmcGAE5JclzIFCqZV7Tp9ykiBGK9KLt6Pbe60cbKIQonN6eSA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,mpnibGqFE-sdcwmPdJ0TM93RBAKL--4e0tQGIKhrRMPCflw,552.0,144,120,False,False,True,True,,
pS54CKUYYER5MrmMyJ7CvPWMqGgFCTQu_DFR6mPFmtt5pgu-XtCHKsnv7HZxuoLGWr9q1k1dvzalkg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,wwkN4vgeN2TdhWHKCyl3ymIBKKytRjpox_d5bM_0uQfYaZiJMFACRYIqMA,545.0,115,84,False,False,True,False,,
Y7ZCZYV9aKscqbSkckgRyiMnCjJJuW9mrQ1SpbGgObWu0wYwJPCN8bbn0fbuH48L6hBzYxQe89FrBg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,lQUN2sLoNIBPBdmJPfyQcysDor1bAI6WY4Iv_Fy-c50sUIQ,544.0,163,105,False,False,True,False,,
Ok3ylqzv5w3QzsmCHg_TC9q4HcFx4bIhadWPtuKgnDE7XOnoychtMdK3oAlilW2oPnzZcVbf3UB-Ng,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,t6na2l2T-6DkL8jI0Cpd4LsWLee6BLRGGno6cHzO26D06g,544.0,123,97,False,False,True,False,,
fOLs-CI0sq52SM7gROefWIODiFY73b60ZReKCMNQE3Z_HnewZYPZP9gRDwI673hEd3rT6HiKZStPKQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,h1KBUu8Y-jslk4hJyK6BMWinkkzvZbQdbLDtNIW_qwm_1ztLvPEN537PDw,543.0,123,94,False,False,True,True,,
T0Py4R8w7cCmcmYQ189BmPS-utgMZnXVWDYs6Ae0E7LP9AkiT3jMwrPQbMigz-J_APTlA-HZsOoKWw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,isIPv5B_9idXAOB-I_RuNDypOBinx9JaAaOs5yJnNovt4FzmIZnzrI5LGg,543.0,87,50,False,False,True,False,,
wMkIDBXyCIqq8-BPdNVDP7vF1PlHnoIyKZghTxyf-DrJNAZFS7vQmdR5WmJjVzsJh5lQ3rMgKgeBOA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,VFXbYFDRRD4J4hIbjHJKCETV0nnFCyFL6z3Uw6ngCew1EXo,539.0,121,95,False,False,True,True,,
o4Bow7ouS5tAeQThTgRsbltH50XVlUY_F78Fq2Hv4hZMIDC_ng6DHiY8MUjuZ4pcFTL3JOik7azeew,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,Xug8NTRNv2WKxM3RtVbjNafVQF-uiAOEoOdkH_9IdsfLGC0,536.0,147,118,False,False,True,True,,
qmkwhXyInI6ZQl7DmmGnO8cZvH44gKyilJ-roJuycmHABJN4KnNor2f-Kaa68HV7WTNfdvtOfZ-a3A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,KnwAKYJ7DBbusPBHJ3tT9NTMqpsyWr20WoRhoGyFWWa_5Ps,535.0,129,105,False,False,True,True,,
Q3FK4NqIlCbC7ydoH4S2lWYqUbCM2qXtjWLuaHUuQbqU2FtXjKaW3ACrYpZ0va_6CpjWZSE3oqB1-w,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,MObetNgTA1MfWIUCqQWSTZKKURFC6TVyJ4KR9AGtmn39u0E,534.0,157,125,False,False,False,False,,
bLxgZsE6PppMH8UKR1XlsonDSCPXzKNt739AjKdzZXo7VSux_UjFxfXZ0vE2H7w9oQqoCM2YOTZXLQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,eMhpNiWBZzKI1yBn9qCBJh3sErwUEnKQA6wpeu0UCd0VvcKEKLXvVBIgCw,533.0,119,68,False,False,True,True,,
